product_id,cover_url,avail_ids,avail_urls
113802187,https://cdn.modesens.com/availability/zimmermann-maxine-wide-leg-printed-trousers-106828231?w=400,a102095664;a99593665;a100172116;a99354317,https://modesens.cn/product/avail/102095664/getlink/;https://modesens.cn/product/avail/99593665/getlink/;https://modesens.cn/product/avail/100172116/getlink/;https://modesens.cn/product/avail/99354317/getlink/
108747020,https://cdn.modesens.com/availability/alaia-womens-noir-alaia-spiral-two-patch-pockets-wide-leg-high-rise-denim-blend-trousers-101804942?w=400,a100099824;a100499808;a101242964;a98714860,https://modesens.cn/product/avail/100099824/getlink/;https://modesens.cn/product/avail/100499808/getlink/;https://modesens.cn/product/avail/101242964/getlink/;https://modesens.cn/product/avail/98714860/getlink/
11132898,https://cdn.modesens.com/availability/17662445?w=400,a80376015;a22812956;a43894359;a20137732,https://modesens.cn/product/avail/80376015/getlink/;https://modesens.cn/product/avail/22812956/getlink/;https://modesens.cn/product/avail/43894359/getlink/;https://modesens.cn/product/avail/20137732/getlink/
114079485,https://cdn.modesens.com/availability/norma-kamali-draped-halter-gown-sheer-skirt-107103226?w=400,a101721321;a99118655;a98788455;a97682362,https://modesens.cn/product/avail/101721321/getlink/;https://modesens.cn/product/avail/99118655/getlink/;https://modesens.cn/product/avail/98788455/getlink/;https://modesens.cn/product/avail/97682362/getlink/
111261839,https://cdn.modesens.com/availability/isabel-marant-jaoni-plunging-cotton-gauze-mini-dress-burnt-orange-104308571?w=400,a104477642;a102458882;a104049950;a103365591,https://modesens.cn/product/avail/104477642/getlink/;https://modesens.cn/product/avail/102458882/getlink/;https://modesens.cn/product/avail/104049950/getlink/;https://modesens.cn/product/avail/103365591/getlink/
110933732,https://cdn.modesens.com/availability/balmain-blue-dress-with-frayed-details-in-tweed-woman-103983259?w=400,a101967842;a100062820;a99941081;a100633925,https://modesens.cn/product/avail/101967842/getlink/;https://modesens.cn/product/avail/100062820/getlink/;https://modesens.cn/product/avail/99941081/getlink/;https://modesens.cn/product/avail/100633925/getlink/
106720657,https://cdn.modesens.com/availability/zimmermann-crush-twist-floral-linen-and-silk-minidress-white-100172034?w=400,a102603934;a99831299;a103814783;a100172034,https://modesens.cn/product/avail/102603934/getlink/;https://modesens.cn/product/avail/99831299/getlink/;https://modesens.cn/product/avail/103814783/getlink/;https://modesens.cn/product/avail/100172034/getlink/
108188134,https://cdn.modesens.com/availability/norma-kamali-abito-lungo-monospalla-con-spacco-bronzo-scintillante-101256116?w=400,a100345763;a99234805;a103827014;a97899802,https://modesens.cn/product/avail/100345763/getlink/;https://modesens.cn/product/avail/99234805/getlink/;https://modesens.cn/product/avail/103827014/getlink/;https://modesens.cn/product/avail/97899802/getlink/
111412592,https://cdn.modesens.com/availability/balmain-logo-jacquard-mini-dress-black-100118650?w=400,,
110294183,https://cdn.modesens.com/availability/zimmermann-white-midi-dress-with-heart-shaped-neckline-purple-103342696?w=400,a102603938;a100108319;a104304603;a100263162,https://modesens.cn/product/avail/102603938/getlink/;https://modesens.cn/product/avail/100108319/getlink/;https://modesens.cn/product/avail/104304603/getlink/;https://modesens.cn/product/avail/100263162/getlink/
